Zip_Code,Counts,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
11418,243,Richmond Hill,NY,40.698485,-73.83365,-5.0,1.0,"40.698485,-73.83365"
11218,243,Brooklyn,NY,40.644552000000004,-73.97595,-5.0,1.0,"40.644552,-73.97595"
11375,236,Forest Hills,NY,40.720535,-73.84581999999999,-5.0,1.0,"40.720535,-73.84582"
11419,232,South Richmond Hill,NY,40.688688,-73.82216,-5.0,1.0,"40.688688,-73.82216"
11211,226,Brooklyn,NY,40.71209,-73.95427,-5.0,1.0,"40.71209,-73.95427"
11367,222,Flushing,NY,40.728614,-73.82145,-5.0,1.0,"40.728614,-73.82145"
11429,219,Queens Village,NY,40.708833,-73.73903,-5.0,1.0,"40.708833,-73.73903"
11204,217,Brooklyn,NY,40.618944,-73.98473,-5.0,1.0,"40.618944,-73.98473"
11374,216,Rego Park,NY,40.724945,-73.8609,-5.0,1.0,"40.724945,-73.8609"
11365,215,Fresh Meadows,NY,40.738983000000005,-73.79209,-5.0,1.0,"40.738983,-73.79209"
10016,211,New York,NY,40.746179999999995,-73.97759,-5.0,1.0,"40.74618,-73.97759"
11201,208,Brooklyn,NY,40.695285999999996,-73.98907,-5.0,1.0,"40.695286,-73.98907"
11219,208,Brooklyn,NY,40.632449,-73.99629,-5.0,1.0,"40.632449,-73.99629"
11421,208,Woodhaven,NY,40.690870000000004,-73.85828000000001,-5.0,1.0,"40.69087,-73.85828"
10314,197,Staten Island,NY,40.606336999999996,-74.14513000000001,-5.0,1.0,"40.606337,-74.14513"
10011,194,New York,NY,40.741012,-74.00012,-5.0,1.0,"40.741012,-74.00012"
11106,192,Astoria,NY,40.762012,-73.93146999999999,-5.0,1.0,"40.762012,-73.93147"
11239,192,Brooklyn,NY,40.645848,-73.87919000000001,-5.0,1.0,"40.645848,-73.87919"
11416,191,Ozone Park,NY,40.683301,-73.8503,-5.0,1.0,"40.683301,-73.8503"
11417,189,Ozone Park,NY,40.675534000000006,-73.84476,-5.0,1.0,"40.675534,-73.84476"
10018,186,New York,NY,40.755101,-73.99337,-5.0,1.0,"40.755101,-73.99337"
10306,185,Staten Island,NY,40.569394,-74.11785,-5.0,1.0,"40.569394,-74.11785"
10022,182,New York,NY,40.759015000000005,-73.96732,-5.0,1.0,"40.759015,-73.96732"
11436,179,Jamaica,NY,40.674146,-73.79687,-5.0,1.0,"40.674146,-73.79687"
11103,170,Astoria,NY,40.762968,-73.91091,-5.0,1.0,"40.762968,-73.91091"
11415,169,Kew Gardens,NY,40.706903000000004,-73.82973,-5.0,1.0,"40.706903,-73.82973"
10128,166,New York,NY,40.781894,-73.95039,-5.0,1.0,"40.781894,-73.95039"
10310,164,Staten Island,NY,40.63212,-74.11551,-5.0,1.0,"40.63212,-74.11551"
11217,163,Brooklyn,NY,40.68209,-73.97783000000001,-5.0,1.0,"40.68209,-73.97783"
11102,160,Astoria,NY,40.771285999999996,-73.92461999999999,-5.0,1.0,"40.771286,-73.92462"
10003,159,New York,NY,40.732509,-73.98935,-5.0,1.0,"40.732509,-73.98935"
10465,159,Bronx,NY,40.825727,-73.81752,-5.0,1.0,"40.825727,-73.81752"
10023,156,New York,NY,40.776099,-73.98285,-5.0,1.0,"40.776099,-73.98285"
10305,153,Staten Island,NY,40.599021,-74.07503,-5.0,1.0,"40.599021,-74.07503"
11104,148,Sunnyside,NY,40.743796,-73.91949,-5.0,1.0,"40.743796,-73.91949"
11105,143,Astoria,NY,40.774685999999996,-73.90816,-5.0,1.0,"40.774686,-73.90816"
11378,142,Maspeth,NY,40.724096,-73.90271,-5.0,1.0,"40.724096,-73.90271"
11694,138,Rockaway Park,NY,40.57649,-73.84721,-5.0,1.0,"40.57649,-73.84721"
10013,135,New York,NY,40.720665999999994,-74.00525999999999,-5.0,1.0,"40.720666,-74.00526"
10024,134,New York,NY,40.786387,-73.97709,-5.0,1.0,"40.786387,-73.97709"
10302,133,Staten Island,NY,40.631127,-74.13715,-5.0,1.0,"40.631127,-74.13715"
10021,132,New York,NY,40.76842,-73.96045,-5.0,1.0,"40.76842,-73.96045"
11356,131,College Point,NY,40.785462,-73.84366,-5.0,1.0,"40.785462,-73.84366"
10028,131,New York,NY,40.776777,-73.9541,-5.0,1.0,"40.776777,-73.9541"
10012,128,New York,NY,40.72596,-73.99834,-5.0,1.0,"40.72596,-73.99834"
10471,127,Bronx,NY,40.900819,-73.90347,-5.0,1.0,"40.900819,-73.90347"
11369,125,East Elmhurst,NY,40.762854,-73.87051,-5.0,1.0,"40.762854,-73.87051"
10014,124,New York,NY,40.734718,-74.00532,-5.0,1.0,"40.734718,-74.00532"
11232,124,Brooklyn,NY,40.655481,-74.00424,-5.0,1.0,"40.655481,-74.00424"
11222,116,Brooklyn,NY,40.726302000000004,-73.94559,-5.0,1.0,"40.726302,-73.94559"
11231,112,Brooklyn,NY,40.6788,-74.00254,-5.0,1.0,"40.6788,-74.00254"
11428,110,Queens Village,NY,40.719981,-73.74127,-5.0,1.0,"40.719981,-73.74127"
11427,110,Queens Village,NY,40.728235,-73.74781999999999,-5.0,1.0,"40.728235,-73.74782"
11411,107,Cambria Heights,NY,40.693538000000004,-73.73574,-5.0,1.0,"40.693538,-73.73574"
11693,105,Far Rockaway,NY,40.596959000000005,-73.81978000000001,-5.0,1.0,"40.596959,-73.81978"
11215,105,Brooklyn,NY,40.667508000000005,-73.9856,-5.0,1.0,"40.667508,-73.9856"
11249,104,Brooklyn,NY,40.645099,-73.945032,-5.0,1.0,"40.645099,-73.945032"
10010,104,New York,NY,40.739022,-73.98205,-5.0,1.0,"40.739022,-73.98205"
11358,103,Flushing,NY,40.760521999999995,-73.79612,-5.0,1.0,"40.760522,-73.79612"
11414,97,Howard Beach,NY,40.658188,-73.84321,-5.0,1.0,"40.658188,-73.84321"
10017,91,New York,NY,40.752159000000006,-73.97231,-5.0,1.0,"40.752159,-73.97231"
11228,89,Brooklyn,NY,40.617563,-74.01168,-5.0,1.0,"40.617563,-74.01168"
10312,87,Staten Island,NY,40.543116999999995,-74.17628,-5.0,1.0,"40.543117,-74.17628"
10309,81,Staten Island,NY,40.529749,-74.21304,-5.0,1.0,"40.529749,-74.21304"
11379,77,Middle Village,NY,40.716028,-73.87925,-5.0,1.0,"40.716028,-73.87925"
10038,76,New York,NY,40.709677,-74.00365,-5.0,1.0,"40.709677,-74.00365"
11357,75,Whitestone,NY,40.784453000000006,-73.80922,-5.0,1.0,"40.784453,-73.80922"
11370,74,East Elmhurst,NY,40.763015,-73.89052,-5.0,1.0,"40.763015,-73.89052"
11361,71,Bayside,NY,40.763177,-73.77391999999999,-5.0,1.0,"40.763177,-73.77392"
11364,68,Oakland Gardens,NY,40.746718,-73.75994,-5.0,1.0,"40.746718,-73.75994"
